barangay_Res,date,count_Exposed,count_Infectious,count_Recovered,count_Specimen_age_9_below,count_Specimen_age_10_17,count_Specimen_age_18_39,count_Specimen_age_40_59,count_Specimen_age_60_79,count_Specimen_age_80_above,count_Conf_age_9_below,count_Conf_age_10_17,count_Conf_age_18_39,count_Conf_age_40_59,count_Conf_age_60_79,count_Conf_age_80_above,count_Reco_age_9_below,count_Reco_age_10_17,count_Reco_age_18_39,count_Reco_age_40_59,count_Reco_age_60_79,count_Reco_age_80_above,count_Specimen_Unknown,count_Conf_Unknown,count_Reco_Unknown
Landayan,2025-01-18,40,22,45,2,10,3,10,10,5,15,5,1,1,0,0,9,3,10,7,2,7,0,0,7
Landayan,2025-01-19,34,22,34,10,1,0,7,5,9,4,7,3,2,1,3,8,9,4,0,1,4,2,2,8
Landayan,2025-01-20,45,21,39,5,8,8,9,7,1,9,6,2,1,2,1,8,9,5,4,3,3,7,0,7
Landayan,2025-01-21,46,21,46,8,5,10,0,7,8,16,2,2,1,0,0,10,10,0,4,8,9,8,0,5
Landayan,2025-01-22,33,21,33,6,6,4,1,5,9,13,4,2,1,1,0,9,2,9,2,0,10,2,0,1
Landayan,2025-01-23,33,21,41,0,8,7,1,4,6,20,0,1,0,0,0,9,2,4,10,9,3,7,0,4
Landayan,2025-01-24,32,20,46,6,6,3,5,5,7,5,8,0,7,0,0,9,1,4,9,7,7,0,0,9
Landayan,2025-01-25,35,20,33,7,0,5,7,5,5,8,12,0,0,0,0,6,4,8,3,4,0,6,0,8
Landayan,2025-01-26,46,20,43,9,8,10,0,2,10,6,10,4,0,0,0,4,7,8,6,6,9,7,0,3
Landayan,2025-01-27,35,20,29,6,7,10,5,1,2,12,6,0,2,0,0,1,2,3,2,6,10,4,0,5
Landayan,2025-01-28,46,19,24,1,7,7,8,8,10,16,2,0,1,0,0,1,1,0,10,5,1,5,0,6
Landayan,2025-01-29,23,19,35,1,0,7,6,7,2,6,8,1,4,0,0,6,5,5,1,7,1,0,0,10
Landayan,2025-01-30,28,19,48,5,0,2,7,3,3,6,2,7,1,0,3,5,9,8,3,7,8,8,0,8
Landayan,2025-01-31,44,19,30,10,1,7,9,9,1,19,0,0,0,0,0,3,5,4,3,9,3,7,0,3
Landayan,2025-02-01,30,18,48,10,0,4,7,2,6,16,2,0,0,0,0,9,4,6,7,9,7,1,0,6
Landayan,2025-02-02,39,18,55,9,10,5,4,1,9,18,0,0,0,0,0,8,9,10,9,10,3,1,0,6
Landayan,2025-02-03,23,18,49,0,9,0,0,1,5,0,18,0,0,0,0,7,5,7,3,8,10,8,0,9
Landayan,2025-02-04,44,18,36,8,2,10,7,7,5,7,1,2,1,3,1,2,4,5,8,9,7,5,3,1
Landayan,2025-02-05,42,17,37,2,8,10,9,2,8,11,4,1,0,1,0,9,0,4,6,8,9,3,0,1
Landayan,2025-02-06,26,17,37,3,1,0,2,6,8,8,1,1,0,1,5,0,7,2,6,6,8,6,1,8
Landayan,2025-02-07,32,17,26,4,2,2,7,3,9,0,9,8,0,0,0,3,4,3,8,0,1,5,0,7
Landayan,2025-02-08,22,17,36,2,3,6,0,1,4,12,2,1,0,1,0,0,4,8,5,1,10,6,1,8
Landayan,2025-02-09,35,16,35,0,9,2,3,8,9,1,3,5,5,0,1,2,8,4,3,7,2,4,1,9
Landayan,2025-02-10,17,16,48,3,0,5,0,3,1,3,4,9,0,0,0,7,9,4,10,8,5,5,0,5
Landayan,2025-02-11,49,16,32,5,9,0,8,8,10,2,0,9,2,0,3,8,2,5,10,5,2,9,0,0
Landayan,2025-02-12,40,16,35,5,5,8,7,6,1,9,0,1,5,0,1,8,5,1,4,2,9,8,0,6
Landayan,2025-02-13,30,15,32,4,8,0,4,9,2,6,6,0,1,1,0,10,5,7,10,0,0,3,1,0
Landayan,2025-02-14,36,15,40,1,7,8,8,6,4,12,2,0,0,1,0,3,4,7,9,8,8,2,0,1
Landayan,2025-02-15,30,15,37,1,10,1,8,4,0,6,2,5,0,0,1,0,6,9,3,9,9,6,1,1
